Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
588,1299328000,C. Vest,Cooper Vest,Vest,Cooper,1B,Brigham Young University,BYU,730257152,BYU,BBC,L,L,988,220,0,0.277,0.407,0.323,13,16,20.70%,7.70%,89.1,87.3,105.2,111.6,14.5,27.20%,19.00%,40.70%,62.90%,82.20%,23.40%,10.40%,19.20%,0.098,45.00%,0.499,57.80%,43%,74.40%
589,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,834,176,0,0.335,0.407,0.292,11,5,15.60%,15.20%,88.8,90.9,101.9,104.3,3.8,35.90%,23.10%,37.40%,57.20%,90.30%,24.40%,8.80%,20.00%,0.115,0.00%,0.141,53.50%,44%,76.60%
590,1099833856,S. White,Sam White,White,Sam,2B,West Virginia University,WVU,5327,West Virginia,BBC,L,R,739,192,0,0.359,0.407,0.328,17,5,10.30%,9.90%,88.2,87.8,103.9,109.2,11,24.00%,18.70%,49.80%,74.90%,89.10%,28.50%,8.90%,16.10%,0.479,41.90%,0.591,64.50%,45%,82.10%
591,1204946944,W. Vierling,Will Vierling,Vierling,Will,C,Murray State University,MURR,730188032,Murray State,BBC,L,R,1037,234,0,0.312,0.407,0.379,17,10,9.00%,11.90%,91.3,92.7,103.8,107.9,12.5,35.00%,22.30%,43.20%,68.80%,89.70%,22.30%,6.20%,23.10%,0.143,16.70%,0.393,67.40%,49%,85.70%
592,1242802944,M. Bowman,Max Bowman,Bowman,Max,3B,University of Akron,AKR,540536064,Akron,BBC,R,R,1010,202,0,0.312,0.407,0.326,17,6,19.70%,15.70%,89.6,89.6,99.5,103.8,16.7,34.10%,16.70%,39.50%,64.70%,87.10%,18.60%,8.10%,18.20%,0.366,71.40%,0.188,56.40%,41%,79.40%
593,1967952971,W. Espinal,Wilbert Espinal,Espinal,Wilbert,RF,Alabama State University,ALST,4765,Alabama State,BBC,L,R,751,172,0,0.302,0.407,0.33,11,8,16.40%,15.90%,89.6,84.6,106.7,110.8,1.3,20.50%,15.40%,40.30%,61.30%,80.50%,22.50%,8.90%,25.00%,0.239,40.00%,0.165,68.40%,46%,77.90%
594,1184529408,N. Groves,Nick Groves,Groves,Nick,CF,University of Illinois,ILL,730163456,Illinois,BBC,L,L,873,148,0,0.324,0.407,0.349,9,0,15.30%,19.70%,82,81.4,97.7,102.3,0.9,30.90%,4.30%,31.60%,51.20%,88.30%,14.80%,5.00%,26.70%,0.147,40.00%,0.317,73.50%,19%,84.10%
595,1216102144,R. Gump,Rocco Gump,Gump,Rocco,3B,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,R,922,208,0,0.303,0.407,0.317,10,8,13.20%,9.80%,88.3,85.8,103.1,107,4.6,28.10%,19.30%,43.00%,73.00%,87.50%,18.10%,8.20%,0.00%,1.479,50.00%,0.085,53.80%,39%,80.80%
596,1563728805,A. Kelsey,Alex Kelsey,Kelsey,Alex,CF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,1001,197,0,0.32,0.407,0.284,11,3,15.80%,15.00%,75,75.6,98.4,101.6,-4.2,19.40%,9.70%,37.30%,56.10%,86.20%,20.80%,7.60%,100.00%,0,0.00%,0.068,57.80%,21%,79.60%
597,1060614616,J. Dobie,Jayce Dobie,Dobie,Jayce,TWP,University of Nevada,NEV,4784,Nevada,BBC,R,R,860,192,11,0.339,0.407,0.374,15,7,14.50%,9.50%,88.8,90.1,101.9,105.8,13.1,35.40%,18.90%,40.60%,63.80%,91.30%,20.70%,6.20%,0.00%,0.25,20.00%,0.081,67.40%,41%,84.80%
598,1310404864,A. Lopez,Adrian Lopez,Lopez,Adrian,LF,University of Southern California,USC,5047,USC,BBC,R,R,946,222,0,0.329,0.406,0.317,21,8,17.50%,8.40%,89.9,89.8,104.6,112.8,11,32.50%,19.50%,49.60%,77.60%,87.70%,28.40%,10.70%,33.30%,0.154,44.80%,0.274,58.70%,42%,78.50%
599,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,868,218,0,0.307,0.406,0.35,8,16,18.30%,11.20%,92.4,92,107.4,114.3,8.3,30.70%,20.50%,48.30%,73.20%,86.10%,30.40%,12.80%,15.20%,0.331,43.80%,0.238,52.70%,47%,73.50%
600,1142791936,I. Humphrey,Isaac Humphrey,Humphrey,Isaac,CF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,1137,234,0,0.286,0.406,0.326,17,13,25.00%,12.00%,92.4,90.6,106.7,111.9,20.1,28.80%,21.20%,42.40%,66.10%,83.10%,24.50%,11.00%,31.30%,0.25,36.40%,0.254,55.80%,51%,74.10%
601,1870143898,J. Sanchez,Jacob Sanchez,Sanchez,Jacob,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,916,196,0,0.327,0.406,0.326,7,8,13.70%,12.40%,86.4,88.4,99.7,104.2,7,26.50%,10.20%,43.40%,66.80%,82.00%,27.30%,10.30%,30.80%,0.175,8.30%,0.272,66.90%,33%,76.40%
602,1099921152,T. Gollert,Taeg Gollert,Gollert,Taeg,1B,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,787,185,0,0.319,0.406,0.32,22,5,18.60%,10.50%,91.6,90.2,106.7,112,11.1,25.60%,20.00%,45.10%,71.50%,83.90%,26.60%,10.20%,20.00%,0.236,29.20%,0.224,63.60%,58%,77.50%
603,1164160512,J. Mendez,Jonathan Mendez,Mendez,Jonathan,2B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,953,220,0,0.314,0.406,0.323,17,11,15.60%,8.80%,89.7,87.5,104.8,109.6,12.1,27.30%,18.70%,43.50%,65.80%,91.70%,25.50%,8.50%,0.00%,0.341,0.00%,0.189,56.30%,45%,80.50%
604,1267878912,D. Perron,DJ Perron,Perron,DJ,1B,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,1066,210,0,0.276,0.406,0.354,11,15,12.60%,11.90%,88.2,91.6,102.9,110.2,13.2,32.30%,20.60%,39.70%,63.40%,91.20%,20.60%,5.60%,25.00%,0.263,28.60%,0,71.30%,41%,85.80%
605,1153713664,B. Vondohlen,Brett Vondohlen,Vondohlen,Brett,1B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,813,220,0,0.314,0.405,0.291,10,17,25.70%,6.80%,88.7,88.9,107.4,113.2,8.9,32.90%,21.20%,54.70%,83.40%,82.40%,37.00%,18.20%,36.80%,0.494,55.90%,0.145,43.80%,41%,66.70%
606,1297553152,W. Furniss,Will Furniss,Furniss,Will,1B,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,1009,203,0,0.305,0.405,0.329,7,12,22.40%,17.20%,91,96,105.6,112.8,5,28.20%,17.60%,40.00%,67.00%,78.00%,20.90%,12.00%,26.90%,0.179,34.60%,0.287,51.60%,44%,70.00%
607,1291197952,K. Edwards,Kameron Edwards,Edwards,Kameron,CF,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,916,193,0,0.326,0.405,0.294,10,4,15.10%,16.00%,80.7,85.6,99,105.6,-2.7,35.50%,9.70%,39.30%,63.10%,85.20%,15.00%,7.20%,33.30%,3.424,-,-,61.10%,16%,81.70%
608,1616187675,T. Davis,Tague Davis,Davis,Tague,TWP,University of Louisville,LOU,5467,Louisville,BBC,L,L,1001,219,5,0.283,0.405,0.354,9,18,23.10%,13.30%,88.8,94.6,107.6,116.6,11.7,28.50%,19.00%,47.40%,74.30%,77.10%,28.20%,14.70%,29.30%,0.098,51.30%,0.344,53.70%,46%,69.00%
609,1310862337,C. Brunson,Chase Brunson,Brunson,Chase,CF,Texas Christian University,TCU,5045,TCU,BBC,R,R,970,224,0,0.317,0.405,0.312,13,12,13.60%,10.10%,91,89.4,106.2,110.2,11.1,26.90%,18.80%,43.10%,65.80%,90.60%,25.30%,8.00%,11.80%,0.311,42.90%,0.238,61.50%,46%,81.30%
