Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
1299,1279355904,K. Proctor,Kyler Proctor,Proctor,Kyler,2B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1039,252,0,0.317,0.367,0.274,13,6,23.40%,8.30%,87.7,85.8,102.1,105.3,9.2,27.70%,11.70%,48.60%,72.10%,80.90%,32.60%,14.10%,20.00%,0.097,50.00%,0.136,53.60%,36%,70.90%
1300,1285054209,S. Swenson,Sean Swenson,Swenson,Sean,1B,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,879,199,0,0.281,0.367,0.284,8,9,19.90%,12.70%,88.5,93.8,105.5,111.9,3.5,26.80%,17.10%,44.60%,68.60%,82.30%,25.00%,11.40%,50.00%,0.11,38.90%,0.376,56.70%,37%,74.50%
1301,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,811,178,0,0.303,0.367,0.337,9,3,13.50%,11.10%,89.9,87.8,103.4,107.7,10.3,31.40%,19.80%,43.50%,65.20%,90.90%,22.70%,6.00%,24.20%,0.299,6.30%,0.393,75.30%,45%,86.10%
1302,1090286592,J. Doyle,Jack Doyle,Doyle,Jack,3B,Northeastern University,NE,343,Northeastern,BBC,R,R,726,153,0,0.268,0.367,0.336,6,6,13.20%,13.20%,84.9,89.6,100.4,104.6,13.2,31.30%,12.50%,39.50%,62.80%,88.70%,21.30%,8.80%,14.30%,1.409,50.00%,0.029,53.80%,33%,77.70%
1303,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,821,215,0,0.316,0.367,0.268,14,5,9.70%,5.60%,89.5,88.1,104.9,107.7,15.5,24.10%,14.70%,45.90%,72.40%,90.70%,23.70%,7.70%,3.60%,0.339,13.30%,0.108,63.70%,41%,83.30%
1304,1340677888,L. Rick,Lucas Rick,Rick,Lucas,1B,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,656,149,0,0.275,0.367,0.331,9,7,22.60%,9.00%,84.7,84.3,101.3,109.3,15.8,33.30%,20.00%,43.90%,63.00%,84.40%,24.00%,9.60%,25.00%,0.484,50.00%,-,62.00%,27%,78.10%
1305,1342168338,H. Russell,Houston Russell,Russell,Houston,C,Purdue University,PUR,730353152,Purdue,BBC,R,R,558,104,0,0.26,0.367,0.339,5,1,12.40%,14.60%,84.5,84.4,102.1,106.4,5.2,27.50%,11.60%,38.70%,65.70%,80.80%,16.10%,8.40%,15.40%,0.52,75.00%,-,67.40%,30%,78.20%
1306,1445319767,T. Hardin,Tanner Hardin,Hardin,Tanner,2B,Wofford College,WOF,730176512,Wofford,BBC,L,R,747,153,0,0.346,0.367,0.305,5,0,10.80%,10.20%,77.2,77.5,94.5,100.4,-1.9,26.50%,0.90%,39.50%,60.90%,91.70%,21.80%,5.40%,0.00%,0.135,0.00%,0.633,73.50%,9%,86.40%
1307,1223994880,C. Brumbaugh,Cayden Brumbaugh,Brumbaugh,Cayden,2B,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,1097,246,0,0.309,0.367,0.281,18,5,13.20%,9.80%,86.1,85.9,100.4,105.9,9.4,25.60%,15.90%,41.80%,62.80%,88.30%,24.60%,6.50%,27.80%,0.079,22.20%,0.415,76.40%,34%,84.50%
1308,1126573056,B. Voth,Brant Voth,Voth,Brant,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,S,R,473,129,12,0.295,0.367,0.272,14,2,16.30%,11.80%,79.5,85.8,93.4,96.4,8,30.80%,0.00%,47.80%,74.90%,82.20%,24.20%,9.50%,-,-,-,-,62.00%,8%,80.10%
1309,1334301184,B. Vujovich,Ben Vujovich,Vujovich,Ben,RF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,803,195,0,0.297,0.367,0.282,11,8,16.90%,8.20%,85.1,87.7,103.2,106.3,2.3,23.30%,16.70%,46.80%,65.90%,85.30%,25.30%,9.00%,66.70%,0.242,0.00%,-,63.50%,38%,80.90%
1310,1258560319,S. Smith,Sawyer Smith,Smith,Sawyer,SS,University of Kansas,KU,730360064,Kansas,BBC,L,R,973,207,0,0.275,0.367,0.274,10,9,23.70%,9.90%,85.9,87,101.9,108.2,8.5,28.50%,14.60%,44.70%,68.40%,77.70%,26.10%,12.60%,37.00%,0.184,47.40%,0.137,60.00%,36%,71.70%
1311,1292547072,M. Mugan,Michael Mugan,Mugan,Michael,CF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,939,221,0,0.281,0.367,0.279,11,9,13.20%,9.80%,82.7,84,100.5,105.5,3.5,21.20%,12.30%,44.20%,68.30%,83.50%,27.90%,8.70%,16.70%,0.158,50.00%,0.218,71.20%,33%,80.20%
1312,1142070272,R. Lavey,Robbie Lavey,Lavey,Robbie,C,George Washington University,GW,730249216,George Washington,BBC,L,R,790,191,0,0.309,0.367,0.289,12,5,15.60%,9.60%,89.1,87.2,103.4,107.3,8.2,28.50%,15.40%,45.30%,73.10%,81.40%,23.70%,11.60%,50.00%,0.053,12.50%,0.702,54.30%,39%,74.30%
1313,1135525120,K. Jacobs-Guishard,Keanu Jacobs-Guishard,Jacobs-Guishard,Keanu,SS,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,650,195,0,0.277,0.366,0.24,5,10,16.80%,10.70%,80.1,89.7,95.5,100.3,1.4,9.10%,0.00%,45.70%,70.00%,78.20%,19.90%,8.00%,57.10%,0.002,0.00%,0.133,69.00%,18%,82.50%
1314,1100524800,C. Johnson,Camden Johnson,Johnson,Camden,3B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,978,232,0,0.323,0.366,0.297,17,2,15.00%,8.80%,85,84.9,98.4,103.4,8.1,33.10%,13.00%,44.50%,64.30%,88.80%,26.90%,7.90%,11.40%,0.33,23.80%,0.243,67.40%,32%,82.30%
1315,1162562304,T. Barth,Tommy Barth,Barth,Tommy,LF,University of Kansas,KU,730360064,Kansas,BBC,R,R,964,203,0,0.276,0.366,0.288,9,6,18.30%,15.10%,89.5,86.6,105.4,110.2,15.1,27.10%,15.50%,42.00%,65.30%,82.30%,22.90%,11.40%,31.80%,0.35,37.00%,0.354,50.80%,40%,72.80%
1316,1143087616,R. Chapman,Reese Chapman,Chapman,Reese,RF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,938,216,0,0.273,0.366,0.277,11,13,29.20%,8.40%,92.1,92.2,106.9,110.7,15.1,30.50%,22.70%,50.60%,74.60%,81.70%,28.70%,15.20%,25.00%,0.401,40.90%,0.304,42.10%,53%,69.90%
1317,1291203328,C. McChesney,Crew McChesney,McChesney,Crew,CF,Brigham Young University,BYU,730257152,BYU,BBC,L,R,927,200,0,0.285,0.366,0.296,17,5,21.90%,14.90%,87.5,91.7,101.6,107,6.3,25.00%,15.00%,43.50%,74.30%,77.30%,20.20%,12.60%,15.20%,0.449,39.10%,0.045,52.40%,42%,71.00%
1318,1213318400,T. Campbell,Tyler Campbell,Campbell,Tyler,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,573,127,0,0.268,0.366,0.34,6,4,28.10%,17.50%,88.7,91.2,104,104,24.5,36.40%,18.20%,40.00%,60.10%,79.40%,25.50%,9.90%,100.00%,-,0.00%,0.036,56.70%,45%,75.10%
1319,1342170294,A. Roellig,Austen Roellig,Roellig,Austen,3B,University of Utah,UTAH,730328320,Utah,BBC,R,R,740,211,0,0.341,0.366,0.301,16,1,10.90%,5.20%,88.8,90.5,102.5,108.8,0.5,32.50%,17.20%,50.30%,73.50%,94.30%,30.10%,5.80%,7.40%,0.295,21.60%,0.299,75.90%,41%,88.40%
1320,1204031744,D. Jefferson,DM Jefferson,Jefferson,DM,CF,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,614,106,0,0.245,0.366,0.327,3,1,20.80%,20.80%,84.7,84.6,102.5,106.1,1.2,23.50%,16.20%,32.60%,54.90%,78.10%,14.50%,9.00%,0.00%,1.03,55.60%,0.162,55.10%,34%,72.50%
1321,1306772736,N. Spaventa,Nick Spaventa,Spaventa,Nick,1B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,700,157,0,0.293,0.366,0.323,9,5,16.30%,10.90%,87.8,88,105.3,111.3,8.7,28.50%,15.40%,43.70%,68.10%,83.90%,24.50%,9.90%,7.70%,0.367,55.60%,0.337,61.50%,37%,77.50%
1322,1342167992,B. Rogers,Brett Rogers,Rogers,Brett,RF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,R,665,172,0,0.331,0.366,0.237,10,3,19.10%,6.90%,90.1,83.4,107.2,114.1,1.1,19.50%,9.80%,46.50%,70.00%,86.20%,29.40%,11.10%,13.30%,0.26,88.90%,0,57.50%,42%,76.10%
1323,1179407872,B. Barton,Blake Barton,Barton,Blake,LF,Belmont University,BEL,730190336,Belmont,BBC,R,R,958,221,0,0.294,0.366,0.293,12,6,13.80%,11.90%,86,85.6,102.2,106.4,14.8,30.10%,11.80%,43.40%,68.70%,87.00%,23.50%,9.40%,28.60%,0.362,25.00%,0.173,58.70%,34%,78.40%
1324,1342170651,B. Rudisill,Bryce Rudisill,Rudisill,Bryce,1B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,774,182,0,0.242,0.366,0.311,9,9,16.00%,11.60%,85,84.3,101.1,106.7,10.6,29.60%,16.90%,43.70%,68.60%,84.40%,26.30%,9.70%,25.00%,0.524,-,-,53.80%,30%,77.80%
1325,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,897,179,0,0.263,0.366,0.312,15,3,17.20%,13.30%,88.4,89.2,103,107.6,13.8,27.70%,13.90%,42.40%,72.10%,86.90%,18.10%,8.40%,22.20%,0.152,28.60%,0.314,59.10%,38%,80.30%
1326,1310334464,C. Campbell,Cade Campbell,Campbell,Cade,3B,University of California,CAL,730152448,California,BBC,R,R,811,198,0,0.313,0.366,0.251,12,8,23.30%,5.10%,86.9,86.6,101.3,108,12.9,37.70%,18.50%,54.90%,77.80%,83.40%,38.90%,15.20%,31.70%,0.183,47.50%,0.117,57.40%,33%,72.40%
1327,1251616000,B. Valentine,Balin Valentine,Valentine,Balin,LF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,877,216,0,0.292,0.366,0.287,8,8,20.00%,10.00%,84.5,84.1,100.6,104,16,42.60%,23.40%,48.60%,75.10%,82.50%,26.00%,11.70%,40.00%,0.298,25.00%,0.18,59.60%,38%,75.80%
1328,1125632993,A. Groeneveld,AJ Groeneveld,Groeneveld,AJ,RF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,754,160,0,0.3,0.366,0.24,8,2,21.60%,13.20%,81.3,77.4,100.9,103.2,5,24.70%,9.10%,42.00%,61.00%,81.50%,23.70%,10.60%,45.50%,0.341,45.50%,0.192,57.30%,30%,74.80%
1329,1212541863,M. Garcia,Mateo Garcia,Garcia,Mateo,LF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,801,165,0,0.255,0.366,0.274,13,3,17.40%,13.80%,85.3,86.7,100,105.4,15.9,24.80%,13.30%,37.30%,62.90%,89.40%,17.20%,5.90%,0.00%,0.049,50.00%,0.127,70.70%,29%,84.30%
1330,1179974912,J. Butler,Justin Butler,Butler,Justin,1B,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,562,113,0,0.257,0.365,0.273,6,4,29.00%,13.00%,83.9,89.4,102.5,106.1,9.7,24.10%,14.80%,41.80%,59.90%,76.50%,28.30%,14.80%,14.30%,0,42.90%,0.098,47.10%,41%,64.70%
1331,1097562368,B. Nigh,Brandon Nigh,Nigh,Brandon,SS,Oakland University,OAK,5386,Oakland,BBC,R,R,1071,216,3,0.264,0.365,0.319,21,4,18.70%,13.40%,84.1,85.7,103.5,111.7,14,26.40%,13.20%,41.00%,64.00%,85.40%,21.10%,8.00%,25.00%,0.335,42.90%,0.05,68.50%,31%,80.40%
1332,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,647,139,0,0.295,0.365,0.301,6,2,2.20%,16.10%,80.1,81.4,94.5,98.8,5.4,23.80%,1.00%,34.80%,51.70%,93.40%,19.00%,2.30%,0.00%,0.094,0.00%,0.222,91.90%,6%,93.30%
1333,1289668671,L. Hernandez,Luis Hernandez,Hernandez,Luis,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,747,174,0,0.27,0.365,0.334,11,9,17.40%,5.00%,88.6,91,104,106.2,13.7,26.10%,16.70%,45.40%,63.20%,88.30%,30.30%,9.80%,10.40%,0.401,32.50%,0.528,62.00%,48%,78.50%
1334,1202718208,E. Dempsey,Evan Dempsey,Dempsey,Evan,TWP,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,938,230,15,0.309,0.365,0.295,18,3,8.60%,6.00%,83.1,85.6,100.4,106.3,9.1,23.90%,9.90%,47.10%,65.70%,93.50%,32.20%,6.40%,10.70%,0.201,14.30%,0.078,75.20%,23%,86.40%
1335,1221084416,B. Murtha,Brock Murtha,Murtha,Brock,2B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,769,169,0,0.272,0.365,0.329,11,3,17.00%,9.40%,85.2,88,102.6,110.4,10.2,26.50%,15.40%,41.90%,64.20%,84.60%,24.00%,9.10%,50.00%,0,-,0,63.90%,46%,78.30%
1336,1264001536,J. Hausser,Justin Hausser,Hausser,Justin,1B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,L,976,231,0,0.299,0.365,0.282,20,6,15.30%,8.40%,87.3,87.6,102.8,105.5,1.9,32.00%,18.70%,42.20%,61.80%,90.70%,25.90%,6.70%,33.30%,0.178,66.70%,0,69.20%,41%,84.20%
1337,1247518976,T. Tracy,Tab Tracy,Tracy,Tab,CF,Lamar University,LAM,730162432,Lamar,BBC,L,L,871,178,0,0.309,0.365,0.299,7,0,11.60%,15.90%,79.4,80.3,96.1,100.8,-7.7,15.60%,2.80%,42.10%,67.80%,90.90%,20.90%,5.40%,8.30%,0.509,20.00%,0.165,76.80%,15%,87.20%
1338,1204942080,J. Poist,Jack Poist,Poist,Jack,LF,University of Akron,AKR,540536064,Akron,BBC,L,R,886,192,0,0.271,0.365,0.297,14,4,13.20%,11.90%,82.2,84.5,98.1,104.3,7.5,31.90%,11.10%,44.70%,70.10%,92.00%,23.80%,5.60%,29.40%,0.075,57.10%,0.07,77.90%,25%,87.40%
1339,1236352914,D. Borner,Drew Borner,Borner,Drew,2B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,535,121,0,0.306,0.365,0.258,6,3,14.50%,9.00%,85.2,87.8,98,102.7,6.3,22.00%,8.50%,43.20%,67.70%,96.20%,24.10%,5.60%,28.60%,0,22.20%,0.411,64.10%,25%,87.00%
1340,1201797120,J. Cannon,Jack Cannon,Cannon,Jack,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,L,605,140,0,0.271,0.365,0.18,9,6,26.00%,12.40%,92.2,84.3,101.6,101.6,31.5,20.00%,20.00%,42.50%,63.20%,74.80%,21.40%,12.10%,-,-,-,-,41.90%,60%,71.60%
1341,1193792412,D. Vachini,Dante Vachini,Vachini,Dante,LF,Cal Poly,CP,5487,Cal Poly,BBC,L,L,973,223,0,0.314,0.365,0.279,15,3,22.10%,9.70%,86.7,89.9,101.4,109.5,3.1,26.70%,16.10%,37.10%,54.20%,89.10%,23.40%,7.50%,21.40%,0.218,30.00%,0.218,62.20%,40%,79.80%
1342,1163965026,D. Reynolds,Drew Reynolds,Reynolds,Drew,1B,University of Maine,ME,730275840,Maine,BBC,L,R,776,173,0,0.272,0.365,0.252,14,4,23.80%,13.10%,87.5,88.9,101.7,107.1,15.8,30.00%,15.00%,49.40%,72.70%,77.30%,26.00%,14.30%,25.00%,0.03,20.00%,0.406,52.00%,40%,71.00%
1343,1673066641,R. Pitts Jr.,Robert Pitts Jr.,Pitts Jr.,Robert,CF,UC Riverside,UCRV,730281728,UC Riverside,BBC,S,R,674,209,0,0.325,0.365,0.282,15,3,16.70%,7.70%,83.7,84.8,99.7,104.5,13.3,36.60%,18.30%,51.00%,77.80%,84.50%,29.90%,11.10%,20.00%,-,0.00%,-,62.10%,27%,78.20%
1344,1361255396,S. Darnell,Sean Darnell,Darnell,Sean,2B,Troy University,TROY,730378496,Troy,BBC,L,R,1092,243,0,0.288,0.365,0.324,16,6,17.10%,10.80%,90.3,91.6,104.5,109.7,8.2,34.10%,21.20%,41.30%,61.80%,87.60%,25.00%,8.50%,12.00%,0.457,63.20%,0.187,62.80%,45%,79.40%
1345,1268368896,R. Pierce,Ryan Pierce,Pierce,Ryan,3B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,1005,244,0,0.295,0.365,0.308,6,14,17.80%,7.30%,88.6,91.6,104.5,112,11.7,22.70%,13.40%,55.00%,78.00%,82.50%,40.90%,13.30%,20.50%,0.181,17.60%,0.603,67.30%,42%,75.80%
1346,1074613504,J. De la Cruz,Juan De la Cruz,De la Cruz,Juan,2B,Stetson University,STET,730261504,Stetson,BBC,R,R,840,175,0,0.297,0.364,0.288,5,4,15.30%,14.90%,83.6,88.1,98.6,103.8,11.3,29.20%,13.20%,38.50%,59.00%,89.50%,22.10%,6.90%,30.40%,0.135,29.40%,0.349,65.70%,23%,82.00%
1347,1143035136,J. Butler,Jake Butler,Butler,Jake,3B,George Mason University,GMU,730265088,George Mason,BBC,R,R,976,229,0,0.306,0.364,0.331,7,5,10.30%,11.70%,83.9,83.1,99,102.4,16,35.50%,12.10%,45.10%,67.40%,89.50%,26.90%,7.40%,0.00%,0.305,18.20%,0.427,70.10%,23%,83.60%
1348,1385713296,W. Cowan,Will Cowan,Cowan,Will,RF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,820,174,0,0.293,0.364,0.318,12,4,11.90%,14.30%,85.8,84.5,101.1,107.5,17.5,34.10%,20.60%,39.00%,70.00%,91.90%,19.70%,5.60%,30.80%,0.308,42.90%,0.245,67.50%,33%,85.60%
1349,1245154816,D. Pendergrass,Dariyan Pendergrass,Pendergrass,Dariyan,CF,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,959,224,0,0.295,0.364,0.299,12,4,9.20%,12.90%,79.6,78.4,95.9,99.6,10.7,30.80%,8.20%,40.60%,68.80%,88.10%,17.60%,5.50%,14.30%,0.39,25.00%,0.377,80.40%,14%,86.40%
1350,1293775872,M. Scherrman,Matt Scherrman,Scherrman,Matt,3B,Creighton University,CREI,730243840,Creighton,BBC,R,R,821,180,0,0.294,0.364,0.289,10,6,22.70%,9.50%,86,86.4,102.9,106.6,10.9,19.30%,10.50%,40.40%,58.30%,81.60%,24.10%,10.70%,42.10%,0.085,43.80%,0.171,54.50%,36%,73.50%
1351,1127735296,K. Watanabe,Kody Watanabe,Watanabe,Kody,2B,University of San Francisco,SF,730365696,San Francisco,BBC,L,R,761,158,0,0.266,0.364,0.291,6,2,18.40%,12.90%,85.8,83.8,101.5,106.3,9.6,27.70%,8.50%,36.80%,61.20%,89.90%,17.90%,7.00%,50.00%,0.065,50.00%,0.059,55.40%,31%,81.10%
1352,1070340091,H. Gomric,Hank Gomric,Gomric,Hank,LF,Saint Louis University,SLU,2291,St. Louis,BBC,L,L,793,194,0,0.304,0.364,0.332,7,5,12.90%,11.20%,90.3,87.5,101.3,109.7,14.1,31.90%,18.10%,46.40%,71.50%,90.40%,25.40%,6.60%,100.00%,0,40.00%,0.5,71.70%,43%,85.90%
1353,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,922,191,0,0.288,0.364,0.299,5,8,17.60%,9.40%,86.7,90,102.7,106.2,9.9,23.70%,18.40%,42.60%,68.50%,85.60%,24.50%,9.90%,27.80%,0.141,13.30%,0.333,58.70%,42%,76.80%
1354,1360077437,N. Arias,Nick Arias,Arias,Nick,SS,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,903,189,0,0.291,0.364,0.293,10,4,17.70%,12.40%,88.1,86.6,102.1,110.9,1.7,27.70%,11.60%,34.60%,55.60%,89.70%,18.20%,6.10%,42.90%,0.256,23.80%,0.43,64.60%,36%,82.40%
1355,1144614656,L. Lawrence,Luke Lawrence,Lawrence,Luke,2B,University of Kentucky,UK,5362,Kentucky,BBC,L,R,957,219,0,0.306,0.364,0.291,10,4,12.70%,7.50%,84.9,87.6,100,104,6.3,33.90%,14.50%,47.60%,71.50%,88.60%,27.00%,7.90%,21.30%,0.193,18.90%,0.321,71.50%,34%,83.30%
1356,1028639305,A. Espaillat,Alex Espaillat,Espaillat,Alex,2B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,684,181,0,0.326,0.364,0.259,7,1,15.00%,9.30%,85,85.1,100.2,102.9,7,30.40%,11.60%,49.00%,72.10%,81.60%,29.90%,12.10%,60.00%,0.186,66.70%,0.783,55.10%,29%,75.20%
1357,1152865280,J. Mettam,Jared Mettam,Mettam,Jared,SS,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,806,190,0,0.295,0.364,0.3,10,4,17.20%,10.70%,84.3,88,102.5,106.7,6.2,24.80%,13.50%,46.70%,72.50%,87.30%,29.30%,10.50%,23.80%,0.406,22.20%,0.1,60.00%,36%,77.40%
1358,1162131968,J. Figueroa,Josue Figueroa,Figueroa,Josue,1B,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,697,182,0,0.225,0.364,0.284,7,8,21.70%,20.40%,83.5,87.4,98.6,98.7,7,15.80%,5.30%,33.60%,50.50%,80.40%,26.10%,7.30%,50.00%,-,75.00%,-,43.80%,16%,78.20%
1359,1447316056,C. Greene,Cameron Greene,Greene,Cameron,SS,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,L,R,780,156,0,0.263,0.364,0.209,9,5,26.10%,15.80%,87.9,91.7,99.5,96.7,14.8,7.70%,7.70%,32.70%,54.60%,81.50%,15.80%,7.20%,25.00%,0.031,-,-,52.40%,23%,78.00%
1360,1297014272,T. Acker,Ty Acker,Acker,Ty,3B,George Washington University,GW,730249216,George Washington,BBC,L,R,709,173,0,0.318,0.363,0.26,9,3,19.10%,9.30%,86.6,81.5,102.9,107.5,2.5,27.90%,15.60%,47.50%,72.40%,85.70%,29.90%,11.10%,0.00%,0.132,33.30%,0.212,59.50%,34%,76.60%
1361,1109512960,F. Bates,Finley Bates,Bates,Finley,SS,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,980,213,0,0.3,0.363,0.306,12,1,11.50%,15.40%,86,87.2,99.2,102.5,1.6,29.80%,12.20%,37.70%,63.70%,91.50%,14.40%,4.80%,27.30%,0.14,40.00%,0.186,69.90%,28%,87.30%
1362,1093141248,T. Rhoades,Ty Rhoades,Rhoades,Ty,3B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,977,244,0,0.299,0.363,0.251,13,9,20.80%,6.30%,85.6,87.2,100.1,105.5,1.2,23.50%,10.30%,49.70%,74.50%,88.10%,30.30%,10.30%,33.30%,0.186,16.70%,0.544,61.00%,34%,79.20%
1363,1153718272,L. Amedee,Lee Amedee,Amedee,Lee,1B,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,R,848,186,0,0.285,0.363,0.305,19,2,13.80%,10.20%,87.5,87,103.6,107,7.3,25.00%,14.70%,38.70%,59.50%,93.80%,23.40%,6.00%,7.70%,0.429,27.80%,0.313,65.40%,39%,84.50%
1364,1310785536,C. Nixon,Chase Nixon,Nixon,Chase,LF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,875,203,0,0.271,0.363,0.323,12,8,13.30%,12.00%,88.2,84,104,107.1,14.3,26.90%,13.10%,39.70%,64.20%,86.80%,19.40%,6.60%,7.40%,0.414,8.30%,0.401,72.20%,43%,83.30%
1365,1204964096,T. Drake,Tyson Drake,Drake,Tyson,LF,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,L,999,232,0,0.259,0.363,0.191,8,12,28.40%,7.70%,82.6,82.2,103.4,108.2,19.4,22.70%,11.40%,54.90%,81.20%,76.50%,31.70%,18.00%,38.90%,0.151,50.00%,0,45.80%,32%,67.20%
1366,1342169263,P. Gillen,Patrick Gillen,Gillen,Patrick,3B,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,583,156,0,0.308,0.363,0.209,8,6,17.90%,8.10%,87.5,84,98.3,101.6,17.5,25.00%,0.00%,43.40%,65.60%,87.40%,20.80%,7.40%,15.40%,0.531,0.00%,-,63.60%,23%,83.00%
1367,1244314523,T. Spees,Trey Spees,Spees,Trey,2B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,856,178,0,0.287,0.363,0.29,6,4,18.00%,12.60%,82.9,85.2,97.9,103.4,14.3,33.60%,11.50%,45.00%,70.80%,83.90%,22.80%,10.20%,15.80%,0.063,66.70%,0,61.40%,23%,77.40%
1368,1802508005,T. Tomlin,Taylor Tomlin,Tomlin,Taylor,CF,Oakland University,OAK,5386,Oakland,BBC,R,L,798,177,0,0.322,0.363,0.31,9,0,13.30%,13.30%,80.1,78.6,95.4,101.4,10.5,39.40%,4.00%,38.60%,61.30%,92.20%,20.30%,6.40%,66.70%,0,57.10%,0.008,55.30%,9%,83.40%
1369,1115512064,J. Quinlan,John Quinlan,Quinlan,John,LF,Cornell University,COR,730298624,Cornell,BBC,S,R,629,122,0,0.246,0.363,0.341,6,5,16.70%,16.70%,84.8,85,100,103.7,13.5,27.40%,11.90%,40.10%,65.60%,85.90%,21.30%,8.30%,20.00%,0.008,33.30%,0.569,64.00%,26%,79.40%
1370,1865789400,A. Ramirez,Andrew Ramirez,Ramirez,Andrew,SS,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,546,120,0,0.283,0.363,0.278,5,2,8.70%,11.40%,79.5,81.3,96.9,103,3.7,15.20%,3.30%,47.80%,67.40%,89.00%,32.40%,7.10%,0.00%,0.051,0.00%,0.12,77.90%,16%,85.10%
1371,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,771,170,0,0.3,0.363,0.333,5,3,5.10%,12.60%,86.3,82.9,97.4,102.7,10.5,21.60%,2.00%,38.00%,59.10%,93.00%,20.10%,3.80%,7.70%,0.332,16.70%,0.285,80.00%,20%,90.10%
1372,1100780800,J. Kuczik,JP Kuczik,Kuczik,JP,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,651,161,0,0.311,0.363,0.231,7,4,8.20%,11.90%,81.5,79.8,98.2,102,27.8,21.90%,12.50%,43.30%,64.70%,95.20%,22.30%,5.80%,10.00%,0.222,0.00%,0.011,68.20%,31%,86.50%
1373,1174371584,L. Crowden,Lane Crowden,Crowden,Lane,LF,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,619,143,0,0.294,0.363,0.274,13,3,23.80%,9.10%,86.5,83.4,103.8,106.8,16.5,35.40%,20.00%,47.20%,71.00%,83.90%,26.90%,11.80%,0.00%,0.053,66.70%,-,50.60%,42%,75.00%
