Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,Z-Swing,Z-Contact%,O-Swing%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs Spin 83+,xSLG vs 83+ Spin
2755,1088082944,K. Hetherington,Kyle Hetherington,Hetherington,Kyle,OF,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,189,30,21,0.133,0.331,0.372,0,2,31.10%,24.40%,78.2,84.4,96.4,108.9,34.1,15.40%,7.70%,34.40%,57.40%,64.10%,18.20%,13.20%,38.50%,0,-,-
2756,1083747328,M. DeRosa,Matt DeRosa,DeRosa,Matt,IF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,596,174,49,0.276,0.331,0.27,7,1,10.30%,12.10%,77.1,81.6,92.3,95.2,3.5,28.10%,3.10%,41.90%,58.70%,77.80%,32.70%,5.90%,14.00%,-,50%,0.069
2757,1163023872,W. Bean,William Bean,Bean,William,IF,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,1091,219,60,0.247,0.331,0.28,12,4,21.50%,11.90%,86.4,83.6,102.3,105.7,17.1,28.40%,14.70%,39.50%,59.90%,83.40%,24.00%,9.00%,22.70%,0.206,67%,0.109
2758,1299386368,A. Frey,Ayden Frey,Frey,Ayden,3B,University of Delaware,DEL,730203136,Delaware,BBC,R,R,95,21,17,0.286,0.331,0.309,1,0,25.00%,7.10%,86.6,83.2,99.1,99.8,6.9,30.80%,15.40%,34.70%,65.70%,82.60%,11.90%,11.60%,33.30%,0,-,-
2759,1263420928,L. Brewster,Lane Brewster,Brewster,Lane,CF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,L,417,80,30,0.237,0.331,0.196,4,0,24.30%,19.40%,78.3,81.1,103,103,-7.9,16.70%,0.00%,38.60%,60.30%,70.70%,19.00%,13.40%,34.80%,0.048,50%,0.037
2760,1305597184,W. Walls,Webster Walls,Walls,Webster,TWP,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,179,32,20,0.188,0.331,0.294,0,1,36.20%,17.00%,80.5,85.7,96.2,99.1,-9.9,28.60%,14.30%,40.80%,66.70%,83.30%,26.70%,16.20%,39.70%,-,-,-
2761,1251292160,R. Hart,River Hart,Hart,River,LF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,156,46,16,0.283,0.331,0.206,6,0,25.50%,5.90%,90.9,95.8,102.7,103.1,27.5,33.30%,22.20%,44.90%,58.80%,80.00%,23.10%,12.20%,27.10%,-,0%,0.156
2762,1100118528,E. Hott,Ethan Hott,Hott,Ethan,CF,Stanford University,STAN,730251264,Stanford,BBC,R,R,644,153,48,0.294,0.331,0.296,10,0,12.40%,9.00%,84.5,83.2,99.1,104,9.9,29.40%,11.80%,45.00%,66.80%,90.60%,25.70%,6.80%,15.20%,0.333,24%,0.254
2763,1326440448,D. Miller,Dalton Miller,Miller,Dalton,2B,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,L,R,294,55,23,0.218,0.331,0.304,1,1,18.10%,12.50%,72.4,73.7,94.3,96.8,1.3,46.70%,6.70%,37.10%,68.80%,90.90%,18.20%,6.80%,18.30%,-,-,-
2764,1284929792,M. Latta,Maddox Latta,Latta,Maddox,SS,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,882,183,52,0.257,0.331,0.296,9,5,22.10%,11.70%,86.4,90.8,102.3,109.3,16.5,29.60%,13.90%,40.80%,59.70%,82.10%,25.20%,11.20%,27.50%,0.203,26%,0.16
2765,1274422017,J. Emendorfer,John Emendorfer,Emendorfer,John,u,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,213,39,17,0.256,0.331,0.275,0,0,16.00%,22.00%,76.7,73.1,93.8,98.4,7.6,43.80%,6.30%,41.30%,61.80%,88.20%,26.80%,9.40%,22.70%,0.54,50%,0.953
2766,1263439104,D. Bacot,Dylan Bacot,Bacot,Dylan,IF,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,997,176,50,0.239,0.331,0.235,8,3,17.20%,15.40%,83.2,84.3,97.7,106.1,24.1,25.00%,8.30%,40.40%,63.20%,90.10%,19.00%,8.20%,20.30%,0.272,50%,0.032
2767,1179436544,E. Corona,Emilio Corona,Corona,Emilio,OF,University of Arizona,ARIZ,232,Arizona,BBC,R,R,898,214,53,0.262,0.331,0.296,7,6,28.00%,5.90%,88.6,85.8,105.9,111.7,26,30.30%,16.70%,57.10%,82.20%,79.80%,40.80%,18.30%,32.00%,0.177,45%,0.226
2768,1204802816,L. Kohler,Logan Kohler,Kohler,Logan,IF,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,883,193,57,0.244,0.331,0.282,10,6,28.30%,11.30%,89.9,92.9,104.4,107.9,12.3,29.70%,19.80%,41.00%,64.00%,81.80%,23.80%,12.30%,30.10%,0.3,50%,0.183
2769,1192951552,C. Franken,Chase Franken,Franken,Chase,OF,Youngstown State University,YSU,730284544,Youngstown State,BBC,L,R,297,80,38,0.212,0.331,0.32,2,4,14.40%,9.30%,72.7,79,100.9,103.9,-0.5,28.60%,7.10%,51.20%,76.90%,90.00%,27.30%,10.10%,19.70%,0.647,-,-
2770,1125364736,N. Dolan,Nick Dolan,Dolan,Nick,3B,Ohio University,OHIO,730298368,Ohio,BBC,R,R,557,142,42,0.254,0.33,0.308,8,5,17.50%,7.50%,82.6,80.2,102,102.1,18.4,30.80%,19.20%,43.10%,66.20%,84.30%,24.50%,8.30%,19.20%,0,33%,0.012
2771,1176049408,E. Meier,Evan Meier,Meier,Evan,CF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,354,95,31,0.284,0.33,0.251,3,1,24.10%,7.40%,82.1,82.5,95.4,99.1,10.5,40.00%,5.00%,47.50%,80.00%,77.30%,24.60%,12.40%,26.20%,0.16,0%,0.534
2772,1140360960,R. Horner,Riley Horner,Horner,Riley,TWP,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,369,93,36,0.269,0.33,0.2,2,0,22.00%,15.40%,74.4,70.2,86.4,89.9,27.7,37.50%,0.00%,36.90%,58.70%,77.80%,18.50%,6.50%,17.60%,0,100%,0
2773,1333130240,K. Stancato,Kyler Stancato,Stancato,Kyler,OF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,L,660,152,49,0.27,0.33,0.281,10,2,14.00%,8.90%,81,75.9,100,103,12,28.60%,7.80%,43.20%,61.60%,94.10%,31.50%,5.60%,13.00%,0.455,57%,0.012
2774,1263449344,B. Lesher,Brett Lesher,Lesher,Brett,SS,University of Delaware,DEL,730203136,Delaware,BBC,R,R,764,195,56,0.287,0.33,0.256,11,7,31.60%,2.40%,89.6,86.9,106.3,107.8,16.4,24.30%,17.10%,47.00%,62.60%,75.70%,35.90%,15.60%,33.10%,0.08,57%,0.252
2775,1232378112,C. Jenkins,Cole Jenkins,Jenkins,Cole,IF,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,693,186,49,0.274,0.33,0.242,10,5,14.40%,5.30%,84,84.3,100.6,105.9,4,26.00%,10.40%,46.90%,60.50%,93.90%,31.20%,8.80%,18.80%,0.23,75%,0.379
2776,1132718592,K. Schaller,Kolton Schaller,Schaller,Kolton,LF,Kent State University,KENT,730315008,Kent State,BBC,L,R,238,63,27,0.222,0.33,0.225,3,2,22.40%,6.60%,83.5,83.6,97.3,97.3,-15.8,11.10%,0.00%,43.70%,72.70%,68.80%,36.80%,13.40%,30.80%,0.061,-,-
2777,1255329280,C. Kelly,Conor Kelly,Kelly,Conor,1B,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,694,180,49,0.283,0.33,0.307,7,2,14.00%,12.60%,85.9,85.7,100.5,104.1,21.1,33.30%,17.90%,39.80%,62.90%,92.90%,23.10%,6.30%,15.90%,0,-,-
2778,1164723456,J. Stanley,Jakoby Stanley,Stanley,Jakoby,IF,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,246,67,29,0.254,0.33,0.185,3,2,12.80%,12.80%,86.4,91.8,96.9,96.9,15.6,50.00%,33.30%,40.70%,76.20%,87.50%,7.70%,6.90%,17.00%,-,-,-
2779,1325149440,T. Crawford,Trystan Crawford,Crawford,Trystan,1B,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,207,40,19,0.225,0.33,0.359,3,0,15.70%,15.70%,91.8,72.5,105.3,108.5,2.6,29.40%,29.40%,32.90%,50.00%,88.50%,17.30%,5.80%,17.60%,-,100%,0
2780,1083960576,C. Kiely,Conor Kiely,Kiely,Conor,OF,Stonehill College,SC,730238464,Stonehill,BBC,R,R,407,203,47,0.3,0.33,0.407,7,1,8.60%,4.70%,86.5,78.5,93.4,95.8,13.9,57.10%,7.10%,56.80%,73.20%,90.00%,37.00%,2.20%,3.90%,0.817,0%,-
2781,1287731200,B. Hager,Brandon Hager,Hager,Brandon,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,329,71,28,0.239,0.33,0.336,3,1,33.70%,11.20%,85.9,95.9,103.8,109.1,9.2,30.60%,16.70%,41.00%,71.10%,70.40%,26.90%,19.50%,47.40%,1.7,60%,0.221
2782,1086008064,L. Boedicker,Lex Boedicker,Boedicker,Lex,1B,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,1054,241,58,0.266,0.33,0.247,12,6,19.30%,9.50%,85.3,90.1,101.2,108.9,15.8,40.20%,17.80%,44.40%,64.80%,85.70%,29.50%,11.40%,25.60%,0.374,40%,0.19
2783,1100224000,C. Vance,Cooper Vance,Vance,Cooper,SS,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,682,169,46,0.254,0.33,0.244,8,4,15.40%,10.00%,81,80.6,99.9,104.1,16.4,23.80%,0.00%,39.10%,60.00%,84.40%,20.20%,7.00%,18.00%,0.025,100%,-
2784,1248462336,T. Lang,Tyler Lang,Lang,Tyler,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,393,86,38,0.233,0.33,0.293,1,3,8.50%,11.30%,86.9,90.1,100.6,103.5,19.9,29.50%,13.10%,41.00%,71.90%,90.50%,18.50%,4.80%,11.80%,0.323,14%,0.575
2785,1187675648,J. Burrell,Jaylon Burrell,Burrell,Jaylon,LF,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,280,80,29,0.287,0.33,0.113,7,1,38.90%,7.80%,77,70.2,99.1,99.1,4,40.00%,20.00%,39.30%,50.00%,63.60%,33.30%,15.70%,40.00%,0,-,-
2786,1310352640,R. Gonzalez,Rudy Gonzalez,Gonzalez,Rudy,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,125,23,11,0.261,0.33,0.14,1,0,20.00%,16.70%,-,-,-,-,-,-,-,43.20%,42.90%,66.70%,22.20%,10.40%,24.10%,-,-,-
2787,1184442368,B. Arendt,Bryan Arendt,Arendt,Bryan,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,1025,194,56,0.206,0.33,0.311,8,9,20.20%,10.90%,83.5,87.1,104.5,107.8,10.5,26.70%,15.80%,43.10%,65.40%,86.80%,27.80%,9.90%,22.90%,0.592,27%,0.4
2788,1336613888,A. Jamison,Aaron Jamison,Jamison,Aaron,OF,West Virginia University,WVU,5327,West Virginia,BBC,L,L,366,74,42,0.23,0.33,0.269,3,3,39.80%,9.10%,76.6,78.6,102.8,112,21.2,26.50%,8.80%,52.20%,76.90%,74.00%,31.10%,18.90%,36.10%,0.935,64%,0.016
2789,1251446272,K. Hayes,Kyle Hayes,Hayes,Kyle,1B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,288,58,31,0.241,0.33,0.375,1,2,17.10%,14.30%,87.9,91.3,107.4,108.3,14.1,23.10%,11.50%,35.80%,54.80%,80.40%,17.30%,6.60%,18.40%,0,100%,0
2790,1274236416,C. Caufield,Casey Caufield,Caufield,Casey,2B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,869,199,48,0.302,0.33,0.269,5,0,10.20%,9.80%,82.5,80.7,97.6,100.6,1.1,26.30%,5.30%,38.80%,63.70%,87.50%,21.70%,3.70%,9.50%,0.304,50%,0.125
2791,1204862208,M. Stellrecht,Mike Stellrecht,Stellrecht,Mike,SS,Binghamton University,BING,730155776,Binghamton,BBC,S,R,695,150,47,0.227,0.33,0.289,11,2,26.60%,10.90%,83.8,86.3,99.8,103.6,10.9,30.90%,21.80%,40.30%,73.30%,77.80%,21.90%,10.60%,26.40%,0,50%,0.614
2792,1198516992,B. Shevey,Boone Shevey,Shevey,Boone,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,262,60,21,0.2,0.33,0.202,2,3,41.10%,8.20%,80.3,84.8,105.8,106.3,8.6,20.00%,10.00%,40.80%,56.90%,63.60%,26.60%,18.30%,44.90%,0.563,100%,0
2793,1284452096,A. Jones,Andrew Jones,Jones,Andrew,2B,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,458,102,36,0.265,0.33,0.308,4,2,25.60%,13.20%,87.6,91,102.5,106.4,13.6,19.00%,14.30%,39.50%,74.10%,76.70%,21.80%,10.00%,25.40%,0.285,100%,0
2794,1271247872,B. Bell,Blaze Bell,Bell,Blaze,1B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,699,199,53,0.261,0.33,0.239,13,6,11.90%,7.50%,82.6,84,96.5,102.8,17.7,28.60%,8.60%,45.60%,73.90%,86.40%,30.30%,6.90%,15.00%,-,0%,-
2795,1336548096,A. Smigelski,Aaron Smigelski,Smigelski,Aaron,IF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,314,56,22,0.196,0.33,0.281,2,3,26.40%,16.70%,88.4,87.1,102.3,107.6,24,32.30%,25.80%,43.60%,71.80%,75.50%,20.10%,12.40%,28.50%,0.04,-,-
2796,1318237696,D. Ratfield,Donovan Ratfield,Ratfield,Donovan,1B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,772,173,51,0.266,0.33,0.287,12,2,19.90%,7.50%,86.8,91.5,102,105.7,8.7,19.20%,9.10%,43.10%,66.20%,88.80%,24.00%,10.00%,23.10%,0.373,42%,0.204
2797,1327585536,K. Langley,Kyle Langley,Langley,Kyle,LF,James Madison University,JMU,730340096,James Madison,BBC,L,L,627,129,46,0.248,0.329,0.29,4,2,17.80%,16.00%,81.6,78,97.4,100.9,9.6,22.50%,2.50%,37.30%,62.50%,87.50%,18.60%,8.30%,22.20%,0.204,27%,0.23
2798,1188022272,C. Stewart,Conner Stewart,Stewart,Conner,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,260,56,23,0.196,0.329,0.295,2,3,22.20%,13.90%,82.6,83.4,98.2,103.1,17.6,24.30%,5.40%,44.60%,71.90%,89.10%,30.90%,8.10%,18.10%,0,40%,0.068
2799,1103639040,J. Chatterton,Jackson Chatterton,Chatterton,Jackson,IF,Bradley University,BRAD,730253312,Bradley,BBC,S,R,775,166,49,0.223,0.329,0.235,11,5,26.60%,13.30%,78.1,82.6,99.2,106.1,19.2,24.60%,10.50%,39.20%,63.30%,83.80%,24.20%,8.30%,21.10%,0.213,25%,0.107
2800,1187810560,J. Ybarra,Jeter Ybarra,Ybarra,Jeter,1B,University of Washington,WASH,3110,Washington,BBC,L,R,864,217,51,0.276,0.329,0.301,16,6,15.30%,7.20%,90.6,88.1,104.9,108,7.4,31.30%,20.00%,45.60%,66.90%,92.10%,32.00%,8.10%,17.80%,0.36,22%,0.657
2801,1238270720,K. Shook,Kooper Shook,Shook,Kooper,OF,Tarleton State University,TSU,730236416,Tarleton State,BBC,R,R,669,185,53,0.286,0.329,0.254,11,1,15.30%,8.80%,84.8,89.4,98.7,103.1,14.4,38.70%,19.40%,49.00%,75.20%,81.30%,27.90%,10.50%,21.30%,0.067,42%,0.224
2802,1141482752,B. Broussard,Bryan Broussard,Broussard,Bryan,TWP,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,360,84,42,0.286,0.329,0.307,3,2,24.00%,8.00%,79.3,90.4,103.8,111.4,5,30.80%,17.90%,50.30%,67.50%,81.70%,32.50%,14.20%,28.20%,0.854,43%,0.188
2803,1332251392,N. Becker,Nathan Becker,Becker,Nathan,IF,Rice University,RICE,2352,Rice,BBC,L,L,726,159,52,0.258,0.329,0.303,8,2,18.50%,15.90%,86.5,84.2,105.2,111.5,6.7,23.10%,11.00%,40.50%,63.00%,86.00%,24.40%,9.80%,24.10%,0.206,71%,0
2804,1083610112,K. Diggs,Kendall Diggs,Diggs,Kendall,RF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,1120,205,55,0.229,0.329,0.277,11,7,23.60%,13.80%,90.1,91.2,103.8,107.3,16.1,29.10%,21.30%,32.90%,49.50%,83.30%,18.90%,7.60%,23.00%,0.101,26%,0.12
2805,1121992960,N. Bufford,Noah Bufford,Bufford,Noah,CF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,84,28,16,0.25,0.329,0.107,0,1,36.40%,12.10%,-,-,-,-,-,-,-,39.30%,66.70%,50.00%,22.20%,13.10%,33.30%,-,0%,-
2806,1202677504,D. Diaz,Davis Diaz,Diaz,Davis,IF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,1073,226,61,0.248,0.329,0.302,10,7,16.60%,11.30%,86.7,85,103.4,110.3,10.1,20.70%,12.40%,36.30%,54.60%,92.60%,20.50%,5.20%,14.40%,0.219,30%,0.39
2807,1322872064,D. Amaral,Dre Amaral,Amaral,Dre,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,573,177,50,0.249,0.329,0.291,8,2,12.00%,10.60%,82.2,86.4,95.9,100.5,7.2,28.60%,0.00%,42.20%,59.00%,73.90%,25.50%,6.10%,14.50%,0.003,0%,0.745
2808,1079825408,L. Vinson,Luke Vinson,Vinson,Luke,TWP,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,876,209,56,0.273,0.329,0.275,10,2,21.10%,8.70%,81.6,81.5,99.1,103.1,9.3,24.80%,8.30%,45.70%,67.60%,87.90%,29.10%,10.80%,23.80%,0.279,13%,0.231
2809,1164160512,J. Mendez,Jonathan Mendez,Mendez,Jonathan,2B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,731,180,51,0.272,0.329,0.292,9,4,17.00%,10.20%,89.4,87.7,101.9,108.5,12.7,33.10%,20.30%,45.60%,67.00%,89.20%,29.80%,8.50%,18.60%,-,36%,0.072
2810,1092328960,B. Gatlin,Bo Gatlin,Gatlin,Bo,IF,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,159,32,23,0.219,0.329,0.231,1,1,27.90%,9.30%,82.2,88.9,92.8,97.4,18.3,26.70%,0.00%,51.60%,65.50%,77.80%,39.50%,18.20%,35.40%,0.006,0%,0.442
2811,1275126785,J. Barbour,Jake Barbour,Barbour,Jake,2B,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,837,193,50,0.249,0.329,0.245,7,8,19.10%,9.60%,81.9,79.1,96.8,106.2,21.7,28.20%,12.80%,43.80%,66.00%,91.00%,29.00%,8.60%,19.60%,0.394,33%,0.029
2812,1110089728,M. Holbrook,Mcgwire Holbrook,Holbrook,Mcgwire,C,Florida State University,FSU,101,Florida State,BBC,R,R,359,82,28,0.268,0.329,0.345,4,2,13.00%,9.80%,91.4,88.3,104.3,109.7,13.5,30.90%,20.00%,49.60%,75.00%,80.00%,29.80%,11.10%,22.50%,0.739,20%,0.253
2813,1309472512,T. Sallie,Ty Sallie,Sallie,Ty,CF,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,766,157,51,0.191,0.329,0.284,10,4,31.00%,19.00%,86.4,88.7,100,101.7,16,39.10%,21.70%,36.80%,70.60%,76.70%,24.10%,11.50%,31.20%,0.005,33%,0.361
2814,1191594752,T. Johnson,Tyrese Johnson,Johnson,Tyrese,LF,Bradley University,BRAD,730253312,Bradley,BBC,R,R,552,144,42,0.25,0.329,0.284,6,1,16.90%,12.40%,85.3,85.8,96.1,101.1,9.5,24.60%,5.30%,42.90%,79.70%,88.70%,23.50%,8.00%,18.60%,-,0%,0.084
2815,1214273792,C. McCloud,Corbin McCloud,McCloud,Corbin,C,Longwood University,LONG,730219264,Longwood,BBC,R,R,446,86,35,0.256,0.329,0.263,3,1,21.90%,11.40%,79.3,82.1,97.8,100.4,23.7,34.10%,13.60%,41.50%,70.30%,73.40%,22.80%,12.60%,30.30%,0.007,38%,0.304
2816,1205036800,T. Eisenstat,Tommy Eisenstat,Eisenstat,Tommy,1B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,735,193,51,0.301,0.329,0.252,9,4,11.50%,5.30%,85.7,83.1,100.9,105.6,9.2,31.90%,6.70%,49.70%,71.80%,86.30%,35.60%,9.40%,18.90%,0.288,29%,0.311
2817,1152912384,E. Hedges,Ethan Hedges,Hedges,Ethan,TWP,University of Southern California,USC,5047,USC,BBC,R,R,894,200,58,0.27,0.329,0.299,8,2,22.10%,11.30%,86.8,85.7,103.8,109.3,16.3,39.80%,15.70%,40.20%,61.00%,87.10%,25.30%,9.50%,23.70%,0.579,56%,0.077
2818,1135899136,Z. Munton,Zach Munton,Munton,Zach,C,Butler University,BUT,730283520,Butler,BBC,L,R,519,112,46,0.223,0.328,0.252,6,3,32.80%,10.40%,82.1,82.8,98.5,102.8,27.6,30.20%,7.00%,45.90%,70.50%,72.90%,27.40%,15.40%,33.60%,0.013,100%,0
2819,1327711744,J. Yorke,Joe Yorke,Yorke,Joe,IF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,844,221,57,0.299,0.328,0.293,12,1,8.50%,9.30%,86.6,82.6,102.1,105.7,10.3,28.50%,9.20%,41.70%,59.10%,95.10%,28.60%,5.70%,13.60%,0.063,10%,0.273
2820,1237394688,P. Puckett,Peyton Puckett,Puckett,Peyton,OF,UAB,UAB,730345984,UAB,BBC,R,R,443,111,35,0.306,0.328,0.266,5,1,19.80%,6.60%,88.4,86,101.1,104.4,1.8,23.10%,17.30%,45.60%,66.70%,94.40%,31.80%,9.90%,21.80%,0.424,0%,0
2821,1310836992,B. Binderup,Blake Binderup,Binderup,Blake,1B,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,226,39,19,0.231,0.328,0.25,0,1,34.70%,18.40%,86.5,89,102.7,105,14.7,29.40%,17.60%,38.10%,56.10%,85.50%,19.80%,10.20%,26.70%,0.007,33%,0.365
2822,1116199936,K. Russell,Kyle Russell,Russell,Kyle,IF,Washington State University,WSU,4505,Washington State,BBC,R,R,689,182,44,0.275,0.328,0.29,11,2,15.90%,6.80%,83.4,84.4,100.8,106.7,11.3,28.80%,12.80%,51.50%,72.50%,89.70%,35.10%,9.90%,19.20%,0.161,36%,0.236
2823,1146160128,J. Ruiz,Justin Ruiz,Ruiz,Justin,C,High Point University,HP,730321152,High Point,BBC,R,R,147,33,16,0.212,0.328,0.298,0,2,26.80%,9.80%,79.1,85.1,93.1,100.3,11.1,40.00%,5.00%,40.80%,56.30%,85.00%,26.40%,7.50%,18.30%,-,-,0
2824,1228393216,C. Hennings,Connor Hennings,Hennings,Connor,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,235,50,25,0.24,0.328,0.29,1,1,27.90%,4.90%,87.5,92,101.9,102.2,12.6,39.30%,21.40%,48.10%,71.70%,83.30%,34.50%,13.20%,27.40%,-,100%,0
2825,1310834176,M. Mitchell,Mack Mitchell,Mitchell,Mack,2B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,424,91,33,0.231,0.328,0.267,5,3,32.40%,13.50%,88.2,88.8,105.5,108,6.5,48.40%,32.30%,39.90%,64.10%,73.20%,24.50%,13.40%,33.70%,1.537,50%,0.105
2826,1175352576,C. Lombardo,Colin Lombardo,Lombardo,Colin,2B,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,293,59,29,0.254,0.328,0.279,1,0,24.00%,13.30%,78.5,85.6,94.8,96.4,28.1,42.90%,14.30%,36.20%,64.50%,80.00%,34.00%,11.60%,32.10%,-,100%,0
2827,1210137600,J. Szestowicki,Justin Szestowicki,Szestowicki,Justin,SS,Elon University,ELON,730252544,Elon,BBC,R,R,410,104,39,0.26,0.328,0.26,6,2,15.70%,9.90%,86,84.8,101,105.5,25.7,27.60%,15.50%,47.60%,72.10%,86.70%,28.40%,10.20%,21.50%,0.1,75%,0.177
2828,1176434432,J. Zmejkoski,Jayson Zmejkoski,Zmejkoski,Jayson,IF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,408,92,43,0.25,0.328,0.296,4,0,24.60%,10.50%,82.2,83.7,98,102.4,-1.6,23.40%,6.40%,38.50%,56.90%,72.40%,26.70%,11.80%,30.60%,0.027,43%,0.244
2829,1239328256,O. Carlson,Owen Carlson,Carlson,Owen,2B,Cornell University,COR,730298624,Cornell,BBC,L,R,165,35,14,0.286,0.328,0.248,1,1,23.70%,7.90%,79.7,75.3,93.3,95.5,5.9,25.00%,5.00%,40.00%,65.20%,86.00%,17.20%,9.10%,22.70%,0.172,0%,-
2830,1192876288,C. Cranford,Collier Cranford,Cranford,Collier,IF,University of Kansas,KU,730360064,Kansas,BBC,R,R,785,215,54,0.274,0.328,0.274,15,5,17.30%,5.30%,86,86.1,103.5,106.8,9.5,29.90%,16.80%,51.20%,78.60%,91.00%,32.00%,10.30%,20.10%,0.163,41%,0.378
2831,1296545792,B. Karp,Brady Karp,Karp,Brady,SS,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,389,77,32,0.182,0.328,0.322,2,2,8.10%,18.90%,83.3,85.5,97.4,100.5,19.9,21.60%,9.80%,37.30%,60.60%,84.90%,20.70%,5.40%,14.50%,0,0%,0.349
2832,1200954880,S. Dalton,Shemar Dalton,Dalton,Shemar,OF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,R,538,131,33,0.26,0.328,0.301,7,2,17.60%,8.20%,84.4,86.1,99.6,107.7,7.6,23.70%,10.50%,46.30%,64.50%,83.80%,31.00%,9.90%,21.30%,0.126,25%,0.069
2833,1097597440,J. Harris,Jackson Harris,Harris,Jackson,1B,Samford University,SAM,730386432,Samford,BBC,L,L,442,119,50,0.252,0.328,0.287,8,1,15.70%,7.10%,86.9,82.6,102.9,107.9,5.1,21.30%,14.80%,44.30%,68.60%,83.30%,30.80%,10.20%,23.00%,0.768,57%,0.156
2834,1157032960,H. Mimbs,Hudson Mimbs,Mimbs,Hudson,3B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,402,83,38,0.217,0.328,0.283,5,3,21.20%,13.10%,83.6,85.4,100.8,104,14.8,32.50%,22.50%,43.50%,66.00%,85.40%,24.70%,11.70%,26.90%,0.093,53%,0.312
2835,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,431,100,33,0.23,0.328,0.313,6,5,41.10%,8.90%,92.3,91.7,106.9,111.1,17.6,37.80%,24.30%,51.50%,75.90%,59.80%,38.70%,25.80%,50.00%,0.087,68%,0.315
