Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,Z-Swing,Z-Contact%,O-Swing%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs Spin 83+,xSLG vs 83+ Spin
2018,1245081088,J. Trout,Jackson Trout,Trout,Jackson,RF,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,491,101,32,0.287,0.358,0.252,3,3,20.50%,11.00%,84.8,83.2,101.7,103.2,17.1,26.30%,13.20%,37.50%,59.40%,87.30%,22.50%,6.90%,18.50%,-,10%,0.187
2019,1123951360,K. McIntosh,Kyler McIntosh,McIntosh,Kyler,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,561,190,51,0.311,0.358,0.12,16,5,10.40%,5.90%,73.3,62.9,91.7,98.9,21.9,57.10%,14.30%,56.70%,78.30%,77.80%,21.40%,9.10%,16.00%,0.008,100%,0
2020,1307813376,G. Gouldsmith,Gunner Gouldsmith,Gouldsmith,Gunner,IF,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,976,245,57,0.318,0.358,0.297,13,4,11.10%,9.60%,83.5,82.7,100.2,105.4,7.8,30.20%,11.00%,47.20%,70.30%,88.00%,30.30%,7.50%,15.80%,0.078,29%,0.153
2021,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,482,90,44,0.256,0.358,0.328,2,1,17.40%,19.80%,85.2,87.5,99.4,103,13.3,42.00%,16.00%,42.50%,66.70%,81.30%,23.20%,10.80%,25.40%,0,50%,0.224
2022,1084644608,N. Pitelli,Nick Pitelli,Pitelli,Nick,C,Florida International University,FIU,4468,Florida International,BBC,R,R,227,41,22,0.244,0.358,0.288,1,2,25.50%,11.80%,87.9,91.7,98.4,101.5,20.3,33.30%,16.70%,39.20%,59.10%,94.90%,24.70%,6.60%,16.90%,0.599,-,-
2023,1108466176,A. Thurston,Alex Thurston,Thurston,Alex,IF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,768,172,52,0.279,0.357,0.241,9,6,23.70%,13.00%,83.2,85.1,95.6,103.8,24.9,27.60%,11.50%,41.40%,62.70%,82.80%,20.20%,9.10%,22.00%,0.042,45%,0.362
2024,1178073344,A. Taurek,Aiden Taurek,Taurek,Aiden,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,156,30,23,0.267,0.357,0.255,0,2,15.80%,10.50%,87.6,91.4,101.3,107.3,21.8,27.80%,16.70%,45.50%,62.50%,80.00%,26.80%,10.90%,23.90%,-,-,-
2025,1294963456,L. Heyman,Luke Heyman,Heyman,Luke,C,University of Florida,FLA,730168320,Florida,BBC,R,R,1114,264,66,0.246,0.357,0.361,14,16,24.30%,7.60%,91.1,95.6,104.7,108.3,13.6,30.00%,21.30%,48.80%,72.30%,73.40%,35.60%,16.30%,33.50%,0.277,47%,0.235
2026,1142668800,I. Escobar,Irvin Escobar,Escobar,Irvin,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,334,114,37,0.298,0.357,0.301,5,0,4.80%,9.00%,80.5,79,93.8,95.9,15.8,33.30%,0.00%,49.40%,59.30%,93.80%,20.00%,3.30%,6.70%,-,-,-
2027,1257477376,D. Kibler,Dom Kibler,Kibler,Dom,1B,Kent State University,KENT,730315008,Kent State,BBC,L,R,762,171,52,0.222,0.357,0.311,9,7,17.80%,12.80%,83.5,82.8,96.3,101.7,23.4,15.80%,10.50%,37.70%,59.20%,93.10%,21.90%,4.90%,12.90%,0,-,-
2028,1145239296,R. Lipoma,Reese Lipoma,Lipoma,Reese,CF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,963,221,55,0.312,0.357,0.24,13,0,16.40%,12.20%,84.6,85.7,97.2,103.9,12.1,24.30%,10.80%,38.30%,62.70%,88.40%,12.90%,7.10%,18.40%,0.037,50%,0.165
2029,1332973568,N. Badillo,Nicholas Badillo,Badillo,Nicholas,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,657,148,41,0.25,0.357,0.269,7,7,29.40%,8.50%,86.6,90.1,100.8,105.9,13.6,23.80%,14.30%,46.90%,75.00%,78.80%,31.20%,15.20%,32.50%,0.075,71%,0
2030,1332973824,J. Hanson,Jason Hanson,Hanson,Jason,1B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,379,121,39,0.289,0.357,0.284,9,3,19.90%,10.60%,87.9,88.1,101.4,107,15.3,42.40%,22.00%,44.30%,64.90%,73.60%,33.30%,10.00%,22.60%,0.055,0%,0.184
2031,1265625856,J. Braxton,Josh Braxton,Braxton,Josh,OF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,354,70,33,0.214,0.357,0.302,3,2,31.60%,19.40%,79.5,77.4,97.7,97,18.5,33.30%,6.70%,31.40%,68.80%,62.30%,9.70%,11.30%,36.00%,0,50%,0.068
2032,1199281920,S. Blandino,Sean Blandino,Blandino,Sean,OF,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,216,62,24,0.258,0.357,0.238,5,2,27.10%,7.10%,73.9,78,95,100.5,15.3,16.70%,0.00%,43.50%,71.10%,75.00%,21.00%,12.00%,27.70%,0.077,-,-
2033,1099927808,D. Dillehay,DJ Dillehay,Dillehay,DJ,SS,Brown University,BRWN,730236160,Brown,BBC,R,R,625,158,39,0.291,0.357,0.237,10,4,20.90%,5.10%,86,83.8,102.1,107.1,12.2,20.50%,10.20%,50.40%,79.70%,84.10%,32.60%,12.50%,24.80%,0.219,50%,0.129
2034,1193779968,S. Rosso,Santino Rosso,Rosso,Santino,IF,Hofstra University,HOF,730245120,Hofstra,BBC,S,R,933,245,57,0.302,0.357,0.323,14,9,15.20%,5.90%,89.1,88.2,103.4,109.7,12.2,30.60%,20.40%,47.60%,71.80%,92.30%,26.90%,8.90%,18.70%,0.382,8%,0.119
2035,1140688384,J. Stadler,Jake Stadler,Stadler,Jake,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,701,151,51,0.278,0.357,0.326,9,1,10.40%,13.00%,86.1,81.5,103.2,105.3,15.8,28.60%,13.30%,37.70%,63.40%,92.80%,18.30%,6.00%,15.90%,0.207,54%,0.302
2036,1217945088,G. Laxton,Graham Laxton,Laxton,Graham,2B,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,93,22,12,0.273,0.357,0.12,0,1,34.60%,11.50%,80.1,80.1,80.1,80.1,54.9,0.00%,0.00%,47.30%,50.00%,12.50%,29.40%,21.50%,45.50%,-,-,-
2037,1232240129,A. Madera,Alex Madera,Madera,Alex,SS,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,1118,228,63,0.303,0.357,0.308,9,2,15.30%,14.90%,86,91.5,99.2,106.5,2,28.10%,13.70%,36.00%,63.80%,92.90%,13.60%,4.70%,13.20%,0.284,25%,0.104
2038,1293170944,T. OBrien,Timmy OBrien,OBrien,Timmy,1B,Bradley University,BRAD,730253312,Bradley,BBC,R,R,734,199,50,0.281,0.357,0.265,14,8,26.90%,4.50%,89.4,92.8,104.7,107.3,21.4,33.30%,19.70%,53.10%,75.80%,78.20%,36.40%,16.30%,30.80%,0.032,80%,0
2039,1162557440,L. McCollum,LeTrey McCollum,McCollum,LeTrey,CF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,569,128,51,0.328,0.357,0.285,8,0,15.50%,10.10%,87.6,82.3,103.9,108,2.6,22.10%,11.60%,40.90%,65.00%,85.30%,24.60%,7.60%,18.50%,0.378,29%,0.106
2040,1220816128,B. Padilla,Bryan Padilla,Padilla,Bryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,778,198,54,0.278,0.357,0.275,13,6,13.10%,12.70%,87.1,86.7,100.6,104.6,16.1,25.00%,18.20%,42.20%,64.20%,91.20%,23.20%,5.30%,12.50%,0.135,31%,0.175
2041,1299347968,K. Byrne,Kurtis Byrne,Byrne,Kurtis,C,Texas Christian University,TCU,5045,TCU,BBC,R,R,792,204,52,0.27,0.357,0.332,11,8,11.50%,8.10%,88.6,86.9,104.8,111,12.4,30.10%,16.30%,48.20%,71.60%,84.30%,31.20%,11.70%,24.30%,0.286,37%,0.24
2042,1292741888,G. Budig,Greg Budig,Budig,Greg,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,648,171,49,0.281,0.356,0.271,10,6,17.80%,11.50%,86.5,87.3,100.9,103.9,10.6,40.60%,25.00%,45.50%,71.40%,89.30%,19.70%,10.30%,22.70%,0,50%,0.16
2043,1216163584,S. Tormos,Sam Tormos,Tormos,Sam,OF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,91,20,11,0.2,0.356,0.341,1,1,23.10%,19.20%,93.9,93.5,103.6,104.9,7.9,22.20%,22.20%,41.80%,70.00%,85.70%,21.10%,7.70%,18.40%,0,-,0
2044,1179407616,E. Snider,Eston Snider,Snider,Eston,CF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,861,224,56,0.313,0.356,0.248,10,4,17.60%,5.10%,82.1,82.2,100.6,105,5.8,26.50%,10.60%,48.30%,65.30%,88.80%,32.50%,10.60%,21.90%,0.261,46%,0.04
